place_id,name,category,primary_type,address,lat,lng,price_level,rating,rating_count,neighbourhood,review_snippets
ChIJUXAAUEUa2jERTkJUfdD1DXM,Hoodadak Korean Restaurant 후다닥 한국 음식점,food,korean_restaurant,"1 Fusionopolis Pl, #01-10 Galaxis, Singapore 138522",1.2995285,103.7882033,2,4.1,717,NUS,"Delicious place but not the kind that blows your mind. But it is a place you wont mind coming back multiple times. I loved the gamjatang (potatoes and pork bone soup). Spicy pork was pretty normal? Banchan was normal as well. Would come back here to try their other stews. This place gets really crowded even on a weekday night. Come early to avoid having to wait. | Delicious and worth. In compare to most Korean restaurants, it taste better with others more of a blend in Western taste. The seafood pancakes, the best awesome one I ever had. | Visited on a rainy day and really enjoyed the hearty stews! Tried three different soup bases, and the spicy seafood tofu soup was the standout. The kimchi wasn’t quite to my taste since I prefer sweet and spicy, while theirs leaned more towards sour and spicy. Looking forward to coming back to try the fried chicken."
ChIJx0dfzAsZ2jERTBmlVt5elE4,Cafe Melba at Mediapolis,food,cafe,"1 Stars Ave, #03-01 Mediacorp Campus, Singapore 138507",1.295968,103.7925581,2,4.1,989,NUS,"super yummy food! 4 pax: $102 Chicken parm: very nicely cooked and seasoned, the tomato sauce and cheese on the top hit the spot - complimented chicken very very well. steak: nice medium well, slightly overcooked and abit tuff but perfectly seasoned. Calamari: crunchy and delicious, very unique wasabi-tartar sauce mix but hit the spot for sure Mushroom sauce: SOOOO FRAGRANT and rich. Perfect number of croutons where every spoon full will have at least one crouton. Absolutely peak bro Ambience & service: nicely lit with warm lighting. Staff is extremely friendly and is very patient, checking up on the | I had a great experience at Café Melba at Mediapolis. The highlight for me was the Chicken Sandwich – perfectly cooked, juicy chicken served on delicious, fresh sourdough bread with just the right crunch. The accompanying salad was crisp and well-balanced, making the whole dish feel light yet satisfying. The atmosphere is relaxed and welcoming, and it’s a lovely spot whether for a casual lunch or a coffee break. | ⭐⭐⭐⭐ Dining outdoors with a view of JTC park is a great way to convince yourself you’re eating “healthy.” The French fries are crispy, addictive, and disappear faster than expected. The broccoli side dish is nicely done and nutritious — though slightly less salt would help it stay on the health team. The burger is huge, filling, and clearly not shy about showing off its portion size. Overall, a very enjoyable dinner experience. Just a heads-up: coming from One-North MRT means a 15–30 minute walk, so driving is recommended unless you want to earn your fries with cardio first. 🚶‍♂️🍔🍟"
ChIJ_64M7Vkb2jERzmTopa_a7Ds,T·E MOOKATA BUFFET,food,buffet_restaurant,"710 Clementi West Street 2, #01-269, Singapore 120710",1.3066929,103.7617698,2,3.9,63,NUS,"meat grills beautifully while the soup gets richer with every ingredient. Great selection of meats, seafood, and veggies, plus the Thai dipping sauces are super flavorful. | WLE, seafood not fresh.. Crab small and no meat. After cook all watery. Crafish And Baby lobster no meat. All broken. Very disappointed.heard All Myanmar workers eating here | One of the best Mookata buffet i have ever had. I went to this mookata buffet on a weekdays which cause me $15 which was really worth it since without the seafood. I recommend the kimchi marinated chicken. I had it and it was full of flavour after grilling. Other than meats and vegetables there are also free flow ice creams and even fried fritters. Would recommend coming during non-peak hours since during peak hours it can be very crowded. I really recommend this mookata buffet."
ChIJMyzw5gYb2jERAVsDQLe7XYY,Les Bouchons Steakhouse Rochester,food,french_restaurant,"10 Rochester Park, Rochester Commons, Singapore 139221",1.3062487000000005,103.7876014,2,4.6,1838,NUS,"Had a great dinner at Les Bouchons Rochester! Love that it’s pet-friendly and the food quality is amazing. We tried the Christmas Family Menu — charcuterie platter, homemade French onion soup, and a festive platter with wagyu sirloin, pork baby short ribs, 40 garlic chicken, and barramundi with yuzu cream. Everything was delicious. Desserts were a treat too, especially the apple tart with cinnamon gelato. Their wines were lovely, and the oysters with Redbull were surprisingly good! Definitely coming back to try more. Highly recommend! | great service team, chef also checks in with guests. food was good, enjoyed everything! had the bone marrow and french onion soup for our starters, tartare with baby potatoes and steak with fries for mains. they even offered us another batch of freshly fried fries, fries were great! | Had a lovely birthday celebration for our niece at Le Bouchon. The steak was cooked perfectly and full of flavour, the bone marrow was rich and indulgent, and the wine paired beautifully with everything. Cozy atmosphere and attentive service esp. by Bernard made the night extra special. Would definitely celebrate here again!"
ChIJt5RMQrYb2jERMLrXx2-QRrw,Swensen's Unlimited @ Geneo,food,buffet_restaurant,"1 Science Park Dr, #01-06, Singapore 118221",1.2918703,103.7856425,2,4.8,3362,NUS,"Visited Swensen’s Unlimited @ Geneo for a lunch buffet with my office colleagues, and it turned out to be a great experience especially since it was my birthday. The buffet had a wide variety of items, and most of them suited my taste perfectly. The highlight was definitely the desserts and the huge selection of ice cream flavours, so many choices to try! At around SGD 35 per person, it felt totally worth it for an unlimited buffet. Overall, a nice place to celebrate or just enjoy a good meal with friends. Highly recommended 👍 | First time at Swensen’s Unlimited and was impressed by the value of the buffet. We visited on a Friday and service was fantastic. We needed to wait for our full party before we could enter, but the manager made arrangements to push back our reservation slot and allowed us to enter provided the latecomers followed our timings (that was already pushed backwards). We were okay with the arrangement and then allowed entry. This arrangement allowed us to have a small head start before the horde of company-sponsored reservations came in, on the day that we visited. One thing to note | This might be the most underrated Ramadan buffet right now. I told myself to eat light but i totally lost control! Besides the usual fresh seafood with prawns, slipper lobsters and scallops, Swensen’s Unlimited teamed up with MICHELIN Green Star Chef Hafizzul Hashim… to bring on exclusive dishes that will tantalise your tastebuds! Hurry as its only till 30 April 2026. You have to indulge in chef's Smoked Duck & Jackfruit Kalio, rich with jackfruit sweetness. The Gulai Lemak Belinjau Leaves and Mussels is a creamy, earthy balance. Salivate at Lodeh Putih with Prawns in smooth coconut broth. The Chicken"
ChIJB7uq5rAb2jERS4m86aRFEag,Great Nanyang Heritage Cafe 大南洋 (Geneo),food,restaurant,"1B Science Park Dr, B1-32, GENEO 119315",1.2923078,103.7852136,2,4.5,1354,NUS,"Enjoyed a satisfying lunch at 大南洋 Cafe at Geneo. The café has a nice ambience with nostalgic old-school décor and interesting seating areas, creating a cosy and relaxing dining atmosphere. The local delights were tasty and comforting. Tried Dry Mee Siam with Chicken Curry and Chicken Hor Fun, both flavourful and delicious. The lunch set also included 1 drink and 1 side dish, and we chose the Prawn Paste Fried Chicken Wings which were crispy, fresh, and very tasty. A great spot for local food lovers. Highly recommended! 😋 #大南洋Cafe #Geneo #SingaporeEats #LocalDelights #MeeSiam #ChickenHorFun #PrawnPasteChicken #OldSchoolVibes #CafeHopping #HighlyRecommended | Decided to try Great Nanyang Heritage Cafe for dinner. It has a very rustic old school coffeeshop vibe, with marble tables and wooden chairs. There is indoor aircond seating as well as outdoor alfresco seating. We chose the former and were quickly shown to our seat. Perusing through the menu, we decided to try the Nasi lemak with the ayam berempah with a rojak to share. The good thing about the rojak is that we’re able to choose the ingredients we want, thus customising exactly how we want our rojak. It has an assortments of fruits and sengkuang, but has | This place is really popular. Has lots of choices on the menu. My wife likes the hot pot mee tai mak while my friends enjoyed the nasi lemak. The mutton was tender and full of flavor but I wish it was a little warmer. By the time it came to me it was only like warm. The dry mee siam was acceptable… I thought it could do with more flavor. Do recommend the red bean smoothie. Loved it!! 😊"
ChIJm-db9Lwb2jERxTs5F3lzr4I,Guzman y Gomez - Star Vista,food,mexican_restaurant,"1 Vista Exchange Grn, #01-32 The Star Vista, Singapore 138617",1.306423,103.7885026,2,4.7,5762,NUS,"⭐⭐⭐⭐⭐ I recently stopped by Guzman y Gomez at The Star Vista and had a fantastic experience! If you are looking for a quick, delicious, and satisfying meal, this is definitely the spot. I ordered the soft chicken tacos, and they were absolutely yummy—fresh, well-seasoned, and exactly what I was craving. What really impressed me was the value: the meal was priced very reasonably, especially given the quality and generous portions. The location itself is great, tucked away in the beautiful Star Vista complex, and the interior has a really nice, vibrant vibe that makes it a great place to | This place has amazing food and better service, the place is pet friendly and place is clean. I say outside and it was surprisingly cooling . The place has indoor and outdoor seating. You should definitely come here when y😋ou get the chance to 😁😝 | Went here for lunch with my partner. I tried the special butter chicken nacho fries and my partner got the mini burrito menu. Total was 23.1$ which is not bad I think. Anyway I quite liked the food. It's a nice mix of two already good things and it works. It's not incredible but tasty! My partner also quite liked her burrito. Ordered an extra guacamole (2.50$) for her nachos but tbh the guacamole was underwhelming. Order process with the qr code is bad tbh. Please allow some express checkout with google/apple pay."
ChIJpbpdPPwa2jER3qzoPX12xE8,Al Amaan Restaurant,food,indian_restaurant,"12 Clementi Rd, Singapore 129742",1.2927526,103.7684987,1,4.2,1569,NUS,"Boss full of character. Ordered mutton biryani but out of stock, boss recommended mutton marsala and butter rice I trust. It was really good. Space X rocket Milo ice good for big party. | Paper Thosai, Thosai and Egg Onion prata was fresh, crispy and nice. The curry had good flavour and texture. I only wish they have the sugary coconut milk to dip for the thosai. The Paneer had only a few cubes of cheese in the bowl. Wish they had more. Also, while it was tastey and creamy, I could tell that it went through the microwave. Overall good experience. | Service 10/10. Staff Arif was very polite and friendly and offered to take care of my school project while my friends and I ate. Food was fabulous and came very fast to our table. Pricing is very worth it with huge portions and a wide variety of cuisines too! Always a blast coming here with friends. Thanks Al Amaan!!! ❤️❤️"
ChIJiykHSUIa2jERQ3nZ8_NBW_8,Peach Garden @ The Metropolis,food,chinese_restaurant,"9 North Buona Vista Drive #02-02, Tower 1 The Metropolis, Singapore 138588",1.3060038,103.7912667,2,4.1,1877,NUS,i should hav read the previous review by Phoebe on cny set. really a rip off for their cny take away set. so now im very sure its their standard. menu had no pics. ordered 2 different sets of 2pax set. my cny dinner totally ruin by tis restaurant. louhei alzo never come with ANY sauces. not even pepper! endup i could not do my louhei w my family. see below pic the food qty is ridiculous little. 1prawn 2pc rib🤦‍♀️🤬 i close to tell them on the spot i wan a complete refund n cancel but i know i | Placed ala carte order at 115pm. 8 items placed but at 235 only 3 items served despite multiple appeals to speed up and giving polite reminder to the service crew. They also seemed uninterested to talk to us. Apparently the kitchen is unable to keep up or it’s a ploy to restrict the number of orders for buffet. We came for ala carte items but seems like they gave us lower priority.This place despite a good name and reputation has just decided not to maintain it. I Strongly suggest not to patronize. There are better restaurants with better service out | 4 of my classmates had dinner at Peach Garden at the Metropolis but the food did not turn out to be good. It is al carte buffet we can order from the menu which has limited dishes available from 7.45pm to 9pm. Waiter check with us whether we want tea but did not inform that it is not included in the buffet price we paid. The total price we paid with tea is S$41 net each. The Tea for 4 is S$20. 1) We were given complimentary Peking duck but the skin taste fine but the meat is tough and
ChIJRYLogvIb2jERqRCDqYyxSxw,JB101 Seafood @ Science Park,food,seafood_restaurant,"45 Science Park Rd, #01-03/04, Singapore 117407",1.2875109,103.782581,2,4.3,946,NUS,"This is the 2nd time we have reunion dinner here. What is nice about this place is the food is served slowly no rush / no GST / no service charge. Free flow of ice cream. This year we ordered the $1288 set with a sucking pig. I particularly like the fried rice. Delighted to see Japanese eel, scallop & large prawn - not your typical fried rice. | Fried porridge is top notch with wok hei and yam and prawn taste. Har cheong Kai, coffee pork ribs all good. Parking is easy under the Aries building! Quiet and peaceful on Saturday lunchtime. Best kid friendly zi char with small toys play area (although the little tikes car wheels need some maintenance). Kopi is a little diluted. | Generally nice. But some dishes portion is small given the price paid. Curry fish head is quite diluted and least spicy I've ever tried. Don't bother ordering the sotong. Yam ring not fantastic too. Live band on Saturday night was might not suitable for young crowd as song list are mainly hokkien n Cantonese. It's fine for us as we celebrated our mum bday there. Total damage 💲600 for 2 tables."
